mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events,material_conflict_mentions_weighted
2015-02-16,United States,North America,98192,33319,9.270112778168848
2015-02-16,Ukraine,Europe,22242,8985,9.938102404466312
2015-02-16,Syria,Asia,15591,6371,5.426069274252885
2015-02-16,Russia,Europe,12586,5546,5.666502003059111
2015-02-16,Australia,Oceania,12322,2817,1.1648748320295326
2015-02-16,Libya,Africa,12087,4791,4.765327005840616
2015-02-16,Iraq,Asia,12027,4061,2.569012093622302
2015-02-16,Nigeria,Africa,11954,5091,5.025153066400665
2015-02-16,Egypt,Africa,10762,5062,4.312952408036242
2015-02-16,United Kingdom,Europe,10101,4129,1.9833851624792445
2015-02-16,India,Asia,9263,3923,1.180831166744736
2015-02-16,Turkey,Asia,8509,3169,3.312083099026923
2015-02-16,Canada,North America,6125,2356,0.7157336821177172
2015-02-16,Israel,Asia,5707,2796,0.9860096016186336
2015-02-16,France,Europe,5178,2390,1.878953104597021
2015-02-23,United States,North America,220589,65640,10.19157300898578
2015-02-23,Russia,Europe,50240,15941,14.334789142663011
2015-02-23,Syria,Asia,41214,16107,7.286460147676932
2015-02-23,Iraq,Asia,36043,11600,4.989375611003563
2015-02-23,Ukraine,Europe,29132,13224,6.643993612425257
2015-02-23,Australia,Oceania,26434,4893,1.260459098051708
2015-02-23,United Kingdom,Europe,23017,8613,2.5200881150130283
2015-02-23,Egypt,Africa,21184,8844,4.468789359227785
2015-02-23,Nigeria,Africa,19563,8372,2.7786723417265486
2015-02-23,Israel,Asia,18868,8987,2.1253163064956593
2015-02-23,Turkey,Asia,17631,5771,1.5730454481383915
2015-02-23,France,Europe,14388,5445,3.56732156943013
2015-02-23,Venezuela,South America,12849,4239,3.1744833364726395
2015-02-23,Bangladesh,Asia,11883,4626,1.572234564789507
2015-02-23,Mexico,North America,11881,4374,1.7824719894269934
2015-03-02,United States,North America,237230,68309,11.816105012791976
2015-03-02,Russia,Europe,48205,18518,14.492718624887557
2015-03-02,Iraq,Asia,37647,14394,7.645921559979033
2015-03-02,Syria,Asia,28358,12712,5.426147975708797
2015-03-02,Australia,Oceania,25787,5174,1.2934525409045399
2015-03-02,Ukraine,Europe,25136,12104,4.8676451326985
2015-03-02,United Kingdom,Europe,24762,9444,2.4340480515753797
2015-03-02,India,Asia,22062,9804,3.0244440834693185
2015-03-02,Israel,Asia,19839,9048,2.32389530255061
2015-03-02,France,Europe,15175,5242,2.3331968079451046
2015-03-02,Egypt,Africa,14983,6251,2.6195191133092077
2015-03-02,Nigeria,Africa,14512,6326,3.2522424628065485
2015-03-02,Indonesia,Asia,13834,3309,1.576951818136682
2015-03-02,Iran,Asia,13549,5644,1.9549668643611242
2015-03-02,Canada,North America,12469,4111,0.7143952822201718
2015-03-09,United States,North America,241638,68867,14.138400588948086
2015-03-09,Iraq,Asia,49619,17026,9.470766328136705
2015-03-09,Syria,Asia,32104,12613,4.702853226575706
2015-03-09,Russia,Europe,26761,12988,8.27858721983482
2015-03-09,India,Asia,24248,11731,3.1708872230270995
2015-03-09,Pakistan,Asia,22923,9616,3.1570313306211135
2015-03-09,Australia,Oceania,22732,4606,1.0953365786284657
2015-03-09,United Kingdom,Europe,19413,8357,1.9956055434719302
2015-03-09,Nigeria,Africa,15473,6875,2.4450167057967045
2015-03-09,Ukraine,Europe,15242,8358,3.2179346831398052
2015-03-09,France,Europe,15241,5603,2.9789512217703695
2015-03-09,Egypt,Africa,14141,6013,2.1254083725470063
2015-03-09,Israel,Asia,13974,7112,1.6428364527400978
2015-03-09,Turkey,Asia,12430,4754,1.797438441590035
2015-03-09,China,Asia,10537,4889,2.04138293990962
2015-03-16,United States,North America,254968,66261,14.019868486086184
2015-03-16,Tunisia,Africa,53783,13294,9.857652663731773
2015-03-16,Yemen,Asia,28897,8871,5.339127630572039
2015-03-16,Pakistan,Asia,25481,11051,3.0805407597349923
2015-03-16,Syria,Asia,25295,10164,3.8026133252827963
2015-03-16,India,Asia,24695,9401,2.0005400132850495
2015-03-16,Australia,Oceania,24401,4732,0.9380628415162833
2015-03-16,Iraq,Asia,21611,9001,4.000469333967266
2015-03-16,Russia,Europe,20974,9844,5.614874323588263
2015-03-16,United Kingdom,Europe,20244,8329,2.0860258403851635
2015-03-16,Israel,Asia,16857,7157,1.6769012112154709
2015-03-16,Ukraine,Europe,15506,8476,3.3130848086887394
2015-03-16,Libya,Africa,13570,4825,2.947469826635389
2015-03-16,France,Europe,12985,5333,2.5830909107811966
2015-03-16,Afghanistan,Asia,11225,3319,1.2369684884063503
2015-03-23,United States,North America,218574,62981,12.234359836822165
2015-03-23,Yemen,Asia,42815,16378,10.641147617927961
2015-03-23,United Kingdom,Europe,24360,8715,2.7426530036677215
2015-03-23,Saudi Arabia,Asia,22885,9632,5.295129571875022
2015-03-23,Syria,Asia,22772,9851,3.5946977250565673
2015-03-23,Nigeria,Africa,22362,8998,4.9364944172489995
2015-03-23,Iraq,Asia,20977,7777,2.791869213790604
2015-03-23,Italy,Europe,20283,4807,2.1319777301874563
2015-03-23,Afghanistan,Asia,19634,4636,1.84237748655805
2015-03-23,Australia,Oceania,18721,3736,0.8847287187615165
2015-03-23,India,Asia,16871,7593,1.087880159986368
2015-03-23,Pakistan,Asia,15625,7081,1.8437089745959727
2015-03-23,Ukraine,Europe,13850,7668,3.1295064659444747
2015-03-23,Russia,Europe,13513,6488,3.5755712076388746
2015-03-23,France,Europe,13471,4900,2.3688306131243473
2015-03-30,United States,North America,199901,61840,9.907457248145372
2015-03-30,Kenya,Africa,61008,16135,18.12928000862197
2015-03-30,Yemen,Asia,37011,15405,7.9801060496939416
2015-03-30,Syria,Asia,26394,10517,3.870883486718385
2015-03-30,Saudi Arabia,Asia,26015,9120,3.913592930600539
2015-03-30,Turkey,Asia,22564,9946,8.006290800157686
2015-03-30,Israel,Asia,21165,9083,2.6383836844868287
2015-03-30,Somalia,Africa,20167,5208,3.574739347952497
2015-03-30,Australia,Oceania,20107,3643,0.9313665393240489
2015-03-30,Iraq,Asia,20073,7922,2.96493057580673
2015-03-30,Iran,Asia,17959,6726,2.6865061962454626
2015-03-30,United Kingdom,Europe,16098,7339,2.157395717822909
2015-03-30,India,Asia,14696,7771,0.895178021756056
2015-03-30,China,Asia,13438,5049,1.7892868912827409
2015-03-30,Ukraine,Europe,13411,7072,3.077465482637624
2015-04-06,United States,North America,258132,69324,16.109303538593174
2015-04-06,Syria,Asia,27477,11377,4.721298994870722
2015-04-06,Yemen,Asia,25881,11320,5.491044958387517
2015-04-06,Kenya,Africa,23850,9509,8.864152304313452
2015-04-06,Australia,Oceania,20326,3424,1.0607011138645157
2015-04-06,India,Asia,20029,10076,1.3255610510221307
2015-04-06,Pakistan,Asia,18594,7630,2.033648747602977
2015-04-06,Turkey,Asia,18330,6701,3.934815734629803
2015-04-06,Egypt,Africa,18209,6133,3.962134110157087
2015-04-06,Saudi Arabia,Asia,17307,7511,2.9494333349096724
2015-04-06,Iraq,Asia,17008,7535,2.8748399844326507
2015-04-06,Afghanistan,Asia,15878,4329,2.6925491753285873
2015-04-06,Russia,Europe,14740,7219,4.7001480407410705
2015-04-06,Ukraine,Europe,13862,7256,3.48761834661245
2015-04-06,United Kingdom,Europe,13859,6355,1.767829488648601
2015-04-13,United States,North America,234949,67614,13.475668702175858
2015-04-13,Iraq,Asia,46449,13702,7.180882569696344
2015-04-13,Australia,Oceania,27866,4829,1.7566591948575383
2015-04-13,Yemen,Asia,22379,9518,5.69183817127444
2015-04-13,Ukraine,Europe,20884,9295,4.817360212748321
2015-04-13,Syria,Asia,19723,7725,2.6751336195058917
2015-04-13,Russia,Europe,19394,8547,5.2620383302995215
2015-04-13,United Kingdom,Europe,16557,7042,1.7671157705603833
2015-04-13,India,Asia,15729,7651,1.181385135378107
2015-04-13,Pakistan,Asia,14645,7179,1.4616313192284947
2015-04-13,Nigeria,Africa,14131,5698,2.178792862132858
2015-04-13,Saudi Arabia,Asia,13108,5431,2.3581944102343932
2015-04-13,Iran,Asia,12235,5479,2.111297846027748
2015-04-13,Israel,Asia,11353,6173,1.524533998283761
2015-04-13,Turkey,Asia,10427,4571,2.239911742050947
2015-04-20,United States,North America,239721,62230,11.963608211370682
2015-04-20,Australia,Oceania,30903,5916,1.9832898777712529
2015-04-20,Syria,Asia,29570,11085,4.563780797916671
2015-04-20,Iraq,Asia,23811,7683,2.901956116735938
2015-04-20,Yemen,Asia,22519,9504,5.063203453688467
2015-04-20,United Kingdom,Europe,20070,7267,1.9004925762176208
2015-04-20,Turkey,Asia,19112,6951,3.0181400805614698
2015-04-20,Pakistan,Asia,19108,7305,1.943007501440873
2015-04-20,Israel,Asia,19016,8434,2.9680085457557435
2015-04-20,Egypt,Africa,18162,7252,3.7768293379568605
2015-04-20,Italy,Europe,17947,4886,2.2491241995356352
2015-04-20,Indonesia,Asia,17125,3798,2.1589722494642984
2015-04-20,Iran,Asia,15195,4356,1.3406491452058484
2015-04-20,Russia,Europe,14980,7602,4.504331499932399
2015-04-20,Ukraine,Europe,14240,7305,3.3699709043228396
2015-04-27,United States,North America,291392,65030,17.4952577987313
2015-04-27,Australia,Oceania,36462,6684,2.1737773204561592
2015-04-27,Indonesia,Asia,33316,7762,3.7792358198023286
2015-04-27,Syria,Asia,32022,12239,5.374924793024085
2015-04-27,Nigeria,Africa,20807,6489,3.2626122232621393
2015-04-27,United Kingdom,Europe,17752,6566,2.0768869402376313
2015-04-27,Yemen,Asia,17626,6936,3.663311285748377
2015-04-27,Saudi Arabia,Asia,17253,5640,2.2932734354722846
2015-04-27,Pakistan,Asia,16352,6556,2.1597143735008113
2015-04-27,Nepal,Asia,16313,3176,2.651458505294604
2015-04-27,Iraq,Asia,16165,6225,2.440524926213998
2015-04-27,Israel,Asia,15853,7407,2.155936983065495
2015-04-27,Ukraine,Europe,15090,7099,3.314321416317781
2015-04-27,Mexico,North America,13806,4335,3.06005468726806
2015-04-27,Iran,Asia,12400,4289,1.5947569466435092
2015-05-04,United States,North America,315083,65270,15.660396877962782
2015-05-04,Syria,Asia,30065,12056,6.0197993251040645
2015-05-04,United Kingdom,Europe,29550,8871,2.9245361158291363
2015-05-04,Australia,Oceania,21389,4001,1.270481239181182
2015-05-04,Iraq,Asia,19200,6499,3.158442072830041
2015-05-04,Yemen,Asia,18765,7575,4.681761080208541
2015-05-04,Canada,North America,16998,3714,0.646265396227993
2015-05-04,Saudi Arabia,Asia,15111,6450,3.556655063902493
2015-05-04,Israel,Asia,14581,6427,1.6453158673421104
2015-05-04,France,Europe,14120,4479,3.0541060977008825
2015-05-04,India,Asia,13942,6564,1.2810716485370641
2015-05-04,Russia,Europe,13637,7243,6.2030542242696445
2015-05-04,Pakistan,Asia,12835,4610,1.1164124606566643
2015-05-04,Ukraine,Europe,12402,6548,2.9753848138595385
2015-05-04,Egypt,Africa,12224,4851,2.3047430700192733
2015-05-11,United States,North America,275187,60344,12.860694303182475
2015-05-11,Syria,Asia,37424,14885,7.589739619890324
2015-05-11,Iraq,Asia,33071,9769,4.45388401811851
2015-05-11,Afghanistan,Asia,30635,5692,2.533416000477149
2015-05-11,Egypt,Africa,23564,7507,6.4447254694874845
2015-05-11,Russia,Europe,22588,7420,5.350879322348966
2015-05-11,Pakistan,Asia,22226,8969,3.6186816921487366
2015-05-11,United Kingdom,Europe,19673,7194,2.715347163107734
2015-05-11,Australia,Oceania,17571,3308,0.8876789738373437
2015-05-11,Yemen,Asia,15186,5078,2.7089120591509452
2015-05-11,Ukraine,Europe,14810,7046,3.2566984774631695
2015-05-11,Israel,Asia,13986,6357,1.7245619538862795
2015-05-11,Saudi Arabia,Asia,13956,4351,1.8709430822866557
2015-05-11,India,Asia,11781,5915,0.7055794421097001
2015-05-11,Iran,Asia,11070,3785,1.4035691138673314
2015-05-18,United States,North America,288511,63596,14.447261210035432
2015-05-18,Iraq,Asia,43867,14234,6.972354503951328
2015-05-18,Syria,Asia,38910,15379,8.881370047605412
2015-05-18,Australia,Oceania,19957,3485,0.8763342701469164
2015-05-18,United Kingdom,Europe,19540,7739,2.114504077189222
2015-05-18,Ukraine,Europe,19109,9224,4.416628606907799
2015-05-18,Russia,Europe,17582,8647,4.924297778933549
2015-05-18,Mexico,North America,17316,5605,4.402456130613783
2015-05-18,Saudi Arabia,Asia,15392,6719,3.3511004649479
2015-05-18,India,Asia,13372,6171,0.9404716690782555
2015-05-18,Afghanistan,Asia,12555,3819,2.0089845310948027
2015-05-18,Israel,Asia,12202,5933,1.5240588730230373
2015-05-18,Yemen,Asia,11183,5188,2.809371808690734
2015-05-18,Pakistan,Asia,11016,5681,1.1977063027123858
2015-05-18,Libya,Africa,10996,3000,1.724606802363076
2015-05-25,United States,North America,215843,54032,12.845540510474608
2015-05-25,Syria,Asia,34968,13861,8.373811417783365
2015-05-25,Iraq,Asia,32707,10999,5.343776026666874
2015-05-25,Australia,Oceania,20671,3986,1.2132758744956407
2015-05-25,Israel,Asia,20233,7476,3.451721755877865
2015-05-25,Russia,Europe,19004,7999,6.056263190175908
2015-05-25,Afghanistan,Asia,18364,4594,2.030593158128134
2015-05-25,Saudi Arabia,Asia,15433,5301,2.619568187761586
2015-05-25,Ukraine,Europe,14573,7465,4.398589916891999
2015-05-25,Yemen,Asia,14533,5319,3.2796962407340393
2015-05-25,Pakistan,Asia,14495,6935,1.6238865644594016
2015-05-25,United Kingdom,Europe,13656,6117,1.6346938147888923
2015-05-25,Mexico,North America,12815,3300,1.3543198642906649
2015-05-25,Nigeria,Africa,11755,4690,4.442757225855866
2015-05-25,India,Asia,11466,5863,0.9085447167452428
2015-06-01,United States,North America,220768,54244,10.913698651616679
2015-06-01,Iraq,Asia,31521,10638,5.591150050225071
2015-06-01,Syria,Asia,28195,12460,6.138893706299787
2015-06-01,Ukraine,Europe,24326,9986,6.863660355149584
2015-06-01,China,Asia,22990,5982,4.440835076842074
2015-06-01,India,Asia,20240,9273,1.4353264916851896
2015-06-01,Israel,Asia,19993,9512,3.494493115746842
2015-06-01,Australia,Oceania,19365,3281,0.8589307922213489
2015-06-01,Russia,Europe,18348,8191,5.685933217916891
2015-06-01,Saudi Arabia,Asia,16696,4881,2.493320111188544
2015-06-01,United Kingdom,Europe,13957,6385,2.074606560576697
2015-06-01,Egypt,Africa,13768,5455,2.8567481928998415
2015-06-01,Pakistan,Asia,12571,6425,2.0370323371321413
2015-06-01,Canada,North America,12145,3368,0.9637527216641503
2015-06-01,Turkey,Asia,11927,4693,2.2480861511020733
2015-06-08,United States,North America,293769,62293,16.72359293799339
2015-06-08,Syria,Asia,30591,11605,5.139440192513943
2015-06-08,Iraq,Asia,21340,7984,3.6543518914294815
2015-06-08,India,Asia,21331,9527,1.9854934443134127
2015-06-08,Israel,Asia,20862,8449,3.06360528561985
2015-06-08,Australia,Oceania,20758,3630,1.0769704653551666
2015-06-08,Egypt,Africa,18721,6633,3.648935791500147
2015-06-08,United Kingdom,Europe,18509,7517,2.293415956076988
2015-06-08,Ukraine,Europe,18312,7932,4.1117428866158106
2015-06-08,Canada,North America,17627,4002,0.7808207923468943
2015-06-08,Pakistan,Asia,15482,7308,2.259739031149274
2015-06-08,France,Europe,14962,3438,2.1774149922915282
2015-06-08,Russia,Europe,13878,6040,4.0196962190025225
2015-06-08,Afghanistan,Asia,11824,3486,1.6080635352549058
2015-06-08,South Africa,Africa,10983,3323,2.381831897082917
2015-06-15,United States,North America,360502,72359,20.862359451242508
2015-06-15,Syria,Asia,29343,11749,4.877782864010029
2015-06-15,Iraq,Asia,21305,6150,2.505310596919003
2015-06-15,Australia,Oceania,20470,3222,0.9760792208165149
2015-06-15,Israel,Asia,20175,7870,2.2420353150729504
2015-06-15,Egypt,Africa,18553,6937,5.052342716451097
2015-06-15,Libya,Africa,18322,3831,2.5750718928574763
2015-06-15,United Kingdom,Europe,18091,7389,1.8756221668147226
2015-06-15,Yemen,Asia,17050,6069,3.3070501393482377
2015-06-15,Russia,Europe,15807,7169,4.409709386270777
2015-06-15,Ukraine,Europe,15408,6598,3.064753699517064
2015-06-15,India,Asia,13887,6274,0.8691623952536529
2015-06-15,France,Europe,12133,3970,1.7654392511341963
2015-06-15,Turkey,Asia,12108,4578,1.397939628280726
2015-06-15,Pakistan,Asia,11956,4826,0.9391174984392792
2015-06-22,United States,North America,415312,74186,15.716659255310342
2015-06-22,Tunisia,Africa,52109,9995,9.405880969049148
2015-06-22,Syria,Asia,50695,18318,8.046606811629871
2015-06-22,France,Europe,30642,8957,5.3220928306142685
2015-06-22,United Kingdom,Europe,28883,9820,2.996456425896895
2015-06-22,Israel,Asia,26860,10915,3.4276055236987673
2015-06-22,Australia,Oceania,25806,3866,0.8329147513457781
2015-06-22,Afghanistan,Asia,18050,5666,3.3595908025982597
2015-06-22,Russia,Europe,15187,6597,3.608358256778434
2015-06-22,Iraq,Asia,14969,5974,1.9059409640321523
2015-06-22,Canada,North America,14830,3640,0.6256594865669028
2015-06-22,Turkey,Asia,14795,5360,2.129612538665786
2015-06-22,Ukraine,Europe,13261,6394,3.4465242110774565
2015-06-22,India,Asia,13090,6833,0.8884719019279591
