mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events,material_conflict_mentions_weighted
2015-06-22,Kuwait,Asia,12531,3754,2.0758993639291505
2015-06-29,United States,North America,248018,61096,11.579952362763185
2015-06-29,Egypt,Africa,67514,18108,12.90139852089015
2015-06-29,Syria,Asia,40976,15499,6.110037864793126
2015-06-29,Israel,Asia,32110,12375,3.4115189980485896
2015-06-29,Tunisia,Africa,29938,9296,6.20145150789244
2015-06-29,United Kingdom,Europe,26630,11212,3.6473183016544564
2015-06-29,Australia,Oceania,20354,3122,0.754966260145273
2015-06-29,Nigeria,Africa,18867,8037,6.119858606699781
2015-06-29,Iraq,Asia,18849,6437,2.2708510422999515
2015-06-29,Canada,North America,18340,3684,0.5349959389755266
2015-06-29,Afghanistan,Asia,16332,4983,2.1903792907694557
2015-06-29,Greece,Europe,13073,4716,4.27140681920793
2015-06-29,Russia,Europe,11564,5768,3.031135482458115
2015-06-29,India,Asia,11161,6209,0.6709896091040547
2015-06-29,France,Europe,11134,4774,2.79191256966329
2015-07-06,United States,North America,305005,72566,11.700755450818242
2015-07-06,Syria,Asia,37143,13022,4.563886402782265
2015-07-06,Israel,Asia,31625,10797,2.86033228699241
2015-07-06,United Kingdom,Europe,27252,10155,3.161640565095856
2015-07-06,Australia,Oceania,24476,4035,0.9267084691152224
2015-07-06,Iraq,Asia,21706,8406,2.8089667759713066
2015-07-06,Mexico,North America,21643,5770,2.338251454645527
2015-07-06,Egypt,Africa,20929,8677,4.854311348418884
2015-07-06,Nigeria,Africa,20318,9375,5.568576183006208
2015-07-06,India,Asia,16667,8016,1.0586738643071336
2015-07-06,Ukraine,Europe,15617,7603,2.805719190241404
2015-07-06,Afghanistan,Asia,14959,5015,2.2378428422133085
2015-07-06,Russia,Europe,14457,7314,3.516665625239914
2015-07-06,Greece,Europe,13537,4596,4.127409788699447
2015-07-06,China,Asia,11801,5271,2.552301367676784
2015-07-13,United States,North America,322745,79400,17.115896463027287
2015-07-13,Australia,Oceania,26060,4310,1.2103623414042814
2015-07-13,Ukraine,Europe,24645,10381,5.129525593726074
2015-07-13,Iran,Asia,23337,7296,2.924145403073821
2015-07-13,Iraq,Asia,22790,9225,5.0710612233700285
2015-07-13,Syria,Asia,20775,9624,4.116225085136844
2015-07-13,Mexico,North America,20225,7150,4.16035470905078
2015-07-13,United Kingdom,Europe,20147,9052,2.877226420525149
2015-07-13,Egypt,Africa,19180,7822,3.8261631098953317
2015-07-13,Israel,Asia,18285,8265,2.0753669946581383
2015-07-13,China,Asia,17971,6748,3.1289598704437793
2015-07-13,Russia,Europe,15569,7762,3.436063726490584
2015-07-13,India,Asia,15157,7609,1.9497596654709133
2015-07-13,Greece,Europe,13266,5101,4.425770682266669
2015-07-13,Nigeria,Africa,12997,6747,4.255368106135468
2015-07-20,United States,North America,307747,78148,16.403544790907898
2015-07-20,Turkey,Asia,78131,27869,19.486987674706945
2015-07-20,Syria,Asia,48116,16843,8.007674007611886
2015-07-20,Israel,Asia,26063,10242,3.121938112347564
2015-07-20,Australia,Oceania,22453,4152,0.9971617310629897
2015-07-20,Iraq,Asia,22136,8918,3.0623050276710373
2015-07-20,United Kingdom,Europe,17281,8102,2.37464805202592
2015-07-20,Ukraine,Europe,16263,8158,2.671769214289462
2015-07-20,Yemen,Asia,15379,5509,2.4563965246379467
2015-07-20,Russia,Europe,13850,7180,2.8723353871158004
2015-07-20,Afghanistan,Asia,13090,4743,2.505963152163611
2015-07-20,India,Asia,12847,6826,1.985673834300948
2015-07-20,Kenya,Africa,12557,2922,2.3232422748496115
2015-07-20,Iran,Asia,11436,5250,1.32511936834607
2015-07-20,France,Europe,11222,4124,1.6246136064282224
2015-07-27,United States,North America,306462,77868,13.380876638309665
2015-07-27,Turkey,Asia,68899,25472,15.45717735638493
2015-07-27,Israel,Asia,55245,22015,9.242490477902622
2015-07-27,Syria,Asia,34258,13801,4.420363924129811
2015-07-27,Zimbabwe,Africa,26729,4939,2.927048288398205
2015-07-27,Pakistan,Asia,25310,10710,2.677453697532256
2015-07-27,India,Asia,24769,11586,2.1146838840519777
2015-07-27,Australia,Oceania,23031,4002,0.884352577962419
2015-07-27,Iraq,Asia,22764,8328,2.7940192024310804
2015-07-27,Russia,Europe,20426,9673,4.55383237971169
2015-07-27,Ukraine,Europe,19585,9289,3.4858213516034944
2015-07-27,Afghanistan,Asia,18964,5154,2.1448410215563167
2015-07-27,United Kingdom,Europe,16688,8562,2.5387067929967544
2015-07-27,Libya,Africa,15677,4316,3.147972959123302
2015-07-27,Yemen,Asia,13115,5461,2.0659640967478006
2015-08-03,United States,North America,269586,67912,16.462172406796626
2015-08-03,Israel,Asia,34230,12923,5.012148937682234
2015-08-03,Syria,Asia,30014,12771,5.961467153633885
2015-08-03,Turkey,Asia,29158,11337,5.409095416675359
2015-08-03,Afghanistan,Asia,19405,6348,4.677715140109068
2015-08-03,Pakistan,Asia,18332,8285,2.2465412209951148
2015-08-03,Iraq,Asia,18137,6093,2.392115984396952
2015-08-03,India,Asia,17708,9223,1.2679655738466837
2015-08-03,Australia,Oceania,16609,2969,0.6784103123032047
2015-08-03,Russia,Europe,15640,7959,4.947961778829847
2015-08-03,Egypt,Africa,15329,4800,2.180928806181941
2015-08-03,United Kingdom,Europe,14980,7573,2.8258296653326234
2015-08-03,Saudi Arabia,Asia,12867,4932,2.3282221893059085
2015-08-03,Ukraine,Europe,12279,6633,2.716911392381052
2015-08-03,China,Asia,11124,3967,1.654486307903832
2015-08-10,United States,North America,302426,76449,17.25708538569488
2015-08-10,Turkey,Asia,52132,20358,12.45144071270587
2015-08-10,Syria,Asia,37029,15958,5.894771469402515
2015-08-10,Iraq,Asia,26423,10325,4.17681821432205
2015-08-10,Australia,Oceania,20732,3526,0.7760172678473625
2015-08-10,Ukraine,Europe,20411,9312,3.7226245037440884
2015-08-10,Pakistan,Asia,19466,8611,2.268635191408868
2015-08-10,Israel,Asia,19322,9873,2.4373386877917436
2015-08-10,United Kingdom,Europe,19222,8397,2.883064843679365
2015-08-10,Egypt,Africa,17267,6865,2.711785059593301
2015-08-10,China,Asia,16669,6205,3.257603381332515
2015-08-10,Russia,Europe,15890,8451,4.047484589517814
2015-08-10,India,Asia,14689,7462,0.8203743221899504
2015-08-10,Afghanistan,Asia,11710,4738,2.277938984351969
2015-08-10,Iran,Asia,10980,4402,1.1809711052720524
2015-08-17,United States,North America,253062,71601,12.685935406787253
2015-08-17,Syria,Asia,33024,14568,5.096522467632047
2015-08-17,Australia,Oceania,27044,3972,0.8582457779466434
2015-08-17,South Korea,Asia,26760,5815,5.05295949897007
2015-08-17,United Kingdom,Europe,24233,9425,2.687920927587982
2015-08-17,Israel,Asia,22659,11228,3.2226604907284675
2015-08-17,Thailand,Asia,22523,5603,4.090035240854447
2015-08-17,Turkey,Asia,22272,9759,4.020990559887789
2015-08-17,Pakistan,Asia,18591,9416,1.8220186079844307
2015-08-17,India,Asia,17826,8670,0.842872280176062
2015-08-17,France,Europe,17761,5443,2.383410139294416
2015-08-17,Russia,Europe,17684,8637,4.432134175618744
2015-08-17,Iraq,Asia,17344,6676,2.299952956330202
2015-08-17,Yemen,Asia,16426,5904,2.7144118038548184
2015-08-17,Egypt,Africa,16312,7269,2.784180895025579
2015-08-24,United States,North America,329447,77404,18.046855495990492
2015-08-24,Australia,Oceania,32442,4708,1.1518925448076203
2015-08-24,Egypt,Africa,27917,6659,2.9513077056895334
2015-08-24,Syria,Asia,24737,11797,4.354211084870799
2015-08-24,India,Asia,22912,10285,1.9239628909386584
2015-08-24,Russia,Europe,20835,9470,4.760576332257913
2015-08-24,Turkey,Asia,19508,8491,3.3396062361376653
2015-08-24,United Kingdom,Europe,18508,8567,2.3947937035752447
2015-08-24,Ukraine,Europe,17896,8966,2.8790304376274527
2015-08-24,Israel,Asia,16936,7979,2.1417714816486257
2015-08-24,Pakistan,Asia,16571,7837,1.3678000185672052
2015-08-24,Iraq,Asia,16480,7270,2.575518040586755
2015-08-24,Afghanistan,Asia,16091,5074,2.78275500941218
2015-08-24,Yemen,Asia,14651,6195,2.7229323864644575
2015-08-24,Hungary,Europe,14278,3336,1.903549364682029
2015-08-31,United States,North America,274894,70548,12.408750533339484
2015-08-31,Syria,Asia,38170,14403,6.719319937633329
2015-08-31,Turkey,Asia,29380,10650,3.836806133188574
2015-08-31,Australia,Oceania,26346,3843,0.8308843088994974
2015-08-31,Yemen,Asia,24325,8266,4.652213231406657
2015-08-31,United Kingdom,Europe,21207,8056,2.2585620819794205
2015-08-31,Ukraine,Europe,18392,9257,5.637666865462514
2015-08-31,India,Asia,16861,8828,1.3104481155227434
2015-08-31,Russia,Europe,15274,8059,3.8828480686168168
2015-08-31,Pakistan,Asia,14008,6837,1.319264011017254
2015-08-31,Israel,Asia,13957,7634,1.7829896891459052
2015-08-31,Hungary,Europe,13697,4368,2.867831251647741
2015-08-31,Iraq,Asia,12040,5612,2.177866270470085
2015-08-31,China,Asia,10922,5238,2.4444276941620524
2015-08-31,France,Europe,10792,3392,3.294557304167869
2015-09-07,United States,North America,210750,61818,11.226225009206932
2015-09-07,Turkey,Asia,42381,16601,9.184597607224624
2015-09-07,Syria,Asia,36167,15996,8.04420276915718
2015-09-07,United Kingdom,Europe,24564,11481,3.456561955177241
2015-09-07,Australia,Oceania,22837,3985,0.8142043978022081
2015-09-07,Russia,Europe,20339,10471,4.864625319094434
2015-09-07,India,Asia,19600,9634,1.1680965668232075
2015-09-07,Israel,Asia,18210,8553,2.7757457471777514
2015-09-07,Iraq,Asia,15212,6933,3.022820250122944
2015-09-07,Yemen,Asia,15123,6960,3.0520754267451875
2015-09-07,Saudi Arabia,Asia,13964,5377,2.1420937126303485
2015-09-07,Pakistan,Asia,13864,6774,1.4471420487933095
2015-09-07,Ukraine,Europe,12299,6921,1.9724856748961872
2015-09-07,Venezuela,South America,12036,4303,3.5067628301664504
2015-09-07,Germany,Europe,12034,3942,2.0160431631473834
2015-09-14,United States,North America,309599,71131,11.366832205114914
2015-09-14,Hungary,Europe,43242,9507,6.0628135428675005
2015-09-14,Israel,Asia,37554,14365,6.06322687390033
2015-09-14,Syria,Asia,35684,15547,5.982466451352256
2015-09-14,Egypt,Africa,28400,10546,4.881592438238581
2015-09-14,Pakistan,Asia,26298,8761,2.8003590561005645
2015-09-14,Australia,Oceania,24163,3950,0.9640021883994926
2015-09-14,Germany,Europe,21466,5179,2.5658295749902287
2015-09-14,United Kingdom,Europe,19811,8703,2.9634702347909556
2015-09-14,Russia,Europe,19628,10145,3.791202865227878
2015-09-14,Serbia,Europe,18681,3228,1.9228789649882838
