mention_week,conflict_continent,conflict_country_name,material_conflict_mentions
2015-02-16,North America,Puerto Rico,27
2015-02-16,North America,Saint Vincent and the Grenadines,4
2015-02-16,North America,Trinidad and Tobago,108
2015-02-16,North America,Turks and Caicos Islands,27
2015-02-16,North America,United States,98192
2015-02-16,Oceania,Australia,12322
2015-02-16,Oceania,Fiji,35
2015-02-16,Oceania,French Polynesia,5
2015-02-16,Oceania,Guam,36
2015-02-16,Oceania,Micronesia,0
2015-02-16,Oceania,Nauru,1
2015-02-16,Oceania,New Zealand,389
2015-02-16,Oceania,Oceans,37
2015-02-16,Oceania,Papua New Guinea,9
2015-02-16,Oceania,Samoa,13
2015-02-16,South America,Argentina,2196
2015-02-16,South America,Bolivia,239
2015-02-16,South America,Brazil,1731
2015-02-16,South America,Chile,526
2015-02-16,South America,Colombia,1375
2015-02-16,South America,Ecuador,113
2015-02-16,South America,Guyana,39
2015-02-16,South America,Paraguay,61
2015-02-16,South America,Peru,303
2015-02-16,South America,Uruguay,221
2015-02-16,South America,Venezuela,4549
2015-02-23,Africa,Algeria,1141
2015-02-23,Africa,Angola,134
2015-02-23,Africa,Benin,271
2015-02-23,Africa,Botswana,49
2015-02-23,Africa,Burkina Faso,1364
2015-02-23,Africa,Burundi,145
2015-02-23,Africa,Cameroon,2011
2015-02-23,Africa,Cape Verde,241
2015-02-23,Africa,Central African Republic,210
2015-02-23,Africa,Chad,3189
2015-02-23,Africa,Democratic Republic of Congo,328
2015-02-23,Africa,Djibouti,74
2015-02-23,Africa,Egypt,31946
2015-02-23,Africa,Equatorial Guinea,5
2015-02-23,Africa,Eritrea,24
2015-02-23,Africa,Ethiopia,489
2015-02-23,Africa,Gabon,3
2015-02-23,Africa,Gambia,371
2015-02-23,Africa,Ghana,1536
2015-02-23,Africa,Guinea,318
2015-02-23,Africa,Ivory Coast,176
2015-02-23,Africa,Kenya,4056
2015-02-23,Africa,Lesotho,248
2015-02-23,Africa,Liberia,628
2015-02-23,Africa,Libya,18600
2015-02-23,Africa,Madagascar,138
2015-02-23,Africa,Malawi,128
2015-02-23,Africa,Mali,457
2015-02-23,Africa,Mauritania,351
2015-02-23,Africa,Mauritius,310
2015-02-23,Africa,Morocco,4088
2015-02-23,Africa,Mozambique,133
2015-02-23,Africa,Namibia,597
2015-02-23,Africa,Niger,2442
2015-02-23,Africa,Nigeria,31517
2015-02-23,Africa,Republic of Congo,773
2015-02-23,Africa,Reunion,4
2015-02-23,Africa,Rwanda,928
2015-02-23,Africa,Senegal,465
2015-02-23,Africa,Sierra Leone,396
2015-02-23,Africa,Somalia,7260
2015-02-23,Africa,South Africa,6395
2015-02-23,Africa,South Sudan,2290
2015-02-23,Africa,Sudan,2364
2015-02-23,Africa,Tanzania,706
2015-02-23,Africa,Togo,125
2015-02-23,Africa,Tunisia,1348
2015-02-23,Africa,Uganda,1300
2015-02-23,Africa,Zambia,492
2015-02-23,Africa,Zimbabwe,1518
2015-02-23,Africa,eSwatini,58
2015-02-23,Antarctica,Antarctica,235
2015-02-23,Asia,Afghanistan,15454
2015-02-23,Asia,Armenia,2862
2015-02-23,Asia,Azerbaijan,2084
2015-02-23,Asia,Bahrain,1227
2015-02-23,Asia,Bangladesh,13382
2015-02-23,Asia,Bhutan,17
2015-02-23,Asia,Brunei,24
2015-02-23,Asia,Cambodia,1228
2015-02-23,Asia,China,12580
2015-02-23,Asia,Georgia,118
2015-02-23,Asia,Hong Kong,621
2015-02-23,Asia,India,20122
2015-02-23,Asia,Indonesia,10450
2015-02-23,Asia,Iran,13254
2015-02-23,Asia,Iraq,48070
2015-02-23,Asia,Israel,24575
2015-02-23,Asia,Japan,5406
2015-02-23,Asia,Jordan,3794
2015-02-23,Asia,Kazakhstan,1026
2015-02-23,Asia,Kuwait,1087
2015-02-23,Asia,Kyrgyzstan,225
2015-02-23,Asia,Laos,43
2015-02-23,Asia,Lebanon,7337
2015-02-23,Asia,Macau,1
2015-02-23,Asia,Malaysia,2664
2015-02-23,Asia,Maldives,2451
2015-02-23,Asia,Mongolia,182
2015-02-23,Asia,Myanmar,1740
2015-02-23,Asia,Nepal,691
2015-02-23,Asia,North Korea,1693
2015-02-23,Asia,Oman,179
2015-02-23,Asia,Pakistan,13313
2015-02-23,Asia,Palestine,2193
2015-02-23,Asia,Philippines,8778
2015-02-23,Asia,Qatar,1665
2015-02-23,Asia,Saudi Arabia,4130
2015-02-23,Asia,Singapore,268
2015-02-23,Asia,South Korea,4077
2015-02-23,Asia,Spratly Islands,97
2015-02-23,Asia,Sri Lanka,1512
2015-02-23,Asia,Syria,56805
2015-02-23,Asia,Taiwan,414
2015-02-23,Asia,Tajikistan,137
2015-02-23,Asia,Thailand,4013
2015-02-23,Asia,Turkey,26140
2015-02-23,Asia,Turkmenistan,74
2015-02-23,Asia,United Arab Emirates,2589
2015-02-23,Asia,Uzbekistan,609
2015-02-23,Asia,Vietnam,1231
2015-02-23,Asia,Yemen,10453
2015-02-23,Europe,Albania,558
2015-02-23,Europe,Andorra,35
2015-02-23,Europe,Austria,1408
2015-02-23,Europe,Bailiwick of Guernsey,44
2015-02-23,Europe,Bailiwick of Jersey,901
2015-02-23,Europe,Belarus,2204
2015-02-23,Europe,Belgium,1579
2015-02-23,Europe,Bosnia and Herzegovina,683
2015-02-23,Europe,Bulgaria,754
2015-02-23,Europe,Croatia,755
2015-02-23,Europe,Cyprus,338
2015-02-23,Europe,Czech Republic,3789
2015-02-23,Europe,Denmark,6662
2015-02-23,Europe,Estonia,256
2015-02-23,Europe,Finland,464
2015-02-23,Europe,France,19566
2015-02-23,Europe,Germany,11131
2015-02-23,Europe,Gibraltar,12
2015-02-23,Europe,Greece,7385
2015-02-23,Europe,Hungary,690
2015-02-23,Europe,Iceland,90
2015-02-23,Europe,Ireland,2464
2015-02-23,Europe,Italy,5206
2015-02-23,Europe,Kosovo,168
2015-02-23,Europe,Latvia,144
2015-02-23,Europe,Lithuania,988
2015-02-23,Europe,Luxembourg,34
2015-02-23,Europe,Malta,92
2015-02-23,Europe,Moldova,307
2015-02-23,Europe,Monaco,36
2015-02-23,Europe,Montenegro,97
2015-02-23,Europe,Netherlands,2345
2015-02-23,Europe,North Macedonia,303
2015-02-23,Europe,Norway,1503
2015-02-23,Europe,Poland,3095
2015-02-23,Europe,Portugal,1022
2015-02-23,Europe,Romania,1948
2015-02-23,Europe,Russia,62826
2015-02-23,Europe,San Marino,2
2015-02-23,Europe,Serbia,842
2015-02-23,Europe,Slovakia,391
2015-02-23,Europe,Slovenia,207
2015-02-23,Europe,Spain,6392
2015-02-23,Europe,Sweden,4871
2015-02-23,Europe,Switzerland,2546
2015-02-23,Europe,Ukraine,51374
2015-02-23,Europe,United Kingdom,33118
2015-02-23,Europe,Vatican City,28
2015-02-23,North America,Antigua and Barbuda,5
2015-02-23,North America,Aruba,1
2015-02-23,North America,Bahamas,230
2015-02-23,North America,Barbados,23
2015-02-23,North America,Belize,192
2015-02-23,North America,Bermuda,13
2015-02-23,North America,Canada,14418
2015-02-23,North America,Cayman Islands,12
2015-02-23,North America,Costa Rica,57
2015-02-23,North America,Cuba,4283
2015-02-23,North America,Dominica,77
2015-02-23,North America,Dominican Republic,44
2015-02-23,North America,El Salvador,781
2015-02-23,North America,Greenland,22
2015-02-23,North America,Guadeloupe,84
2015-02-23,North America,Guatemala,787
2015-02-23,North America,Haiti,721
2015-02-23,North America,Honduras,377
2015-02-23,North America,Jamaica,442
2015-02-23,North America,Mexico,15634
2015-02-23,North America,Nicaragua,262
2015-02-23,North America,Panama,363
2015-02-23,North America,Puerto Rico,158
2015-02-23,North America,Saint Vincent and the Grenadines,21
2015-02-23,North America,Trinidad and Tobago,343
2015-02-23,North America,Turks and Caicos Islands,50
2015-02-23,North America,United States,318781
2015-02-23,North America,"Virgin Islands, U.S.",2
2015-02-23,Oceania,Australia,38756
2015-02-23,Oceania,Christmas Island,0
