mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2015-09-07,United Kingdom,Europe,24564,11481
2015-09-07,Australia,Oceania,22837,3985
2015-09-14,United States,North America,309599,71131
2015-09-14,Hungary,Europe,43242,9507
2015-09-14,Israel,Asia,37554,14365
2015-09-14,Syria,Asia,35684,15547
2015-09-14,Egypt,Africa,28400,10546
2015-09-21,United States,North America,200674,63353
2015-09-21,Syria,Asia,27884,12641
2015-09-21,Saudi Arabia,Asia,25506,7571
2015-09-21,Israel,Asia,23691,10068
2015-09-21,Russia,Europe,23328,12044
2015-09-28,United States,North America,365691,84774
2015-09-28,Russia,Europe,80783,32952
2015-09-28,Syria,Asia,73797,28302
2015-09-28,Afghanistan,Asia,57893,16557
2015-09-28,Israel,Asia,45588,16113
2015-10-05,United States,North America,261366,75382
2015-10-05,Israel,Asia,154766,40852
2015-10-05,Syria,Asia,88383,31886
2015-10-05,Russia,Europe,82559,33279
2015-10-05,Turkey,Asia,49932,15611
2015-10-12,United States,North America,235525,68633
2015-10-12,Israel,Asia,168718,39235
2015-10-12,Syria,Asia,68118,26533
2015-10-12,Russia,Europe,59144,24511
2015-10-12,Turkey,Asia,43605,15097
2015-10-19,United States,North America,166797,47958
2015-10-19,Israel,Asia,70733,22290
2015-10-19,Syria,Asia,32307,14259
2015-10-19,Russia,Europe,25715,12012
2015-10-19,Australia,Oceania,25323,3227
2015-10-26,United States,North America,255384,69361
2015-10-26,Israel,Asia,59201,20309
2015-10-26,Australia,Oceania,53141,4846
2015-10-26,Syria,Asia,46733,19138
2015-10-26,Russia,Europe,35556,16033
2015-11-02,United States,North America,249348,65865
2015-11-02,Russia,Europe,66186,20706
2015-11-02,Egypt,Africa,47475,12609
2015-11-02,United Kingdom,Europe,42182,13525
2015-11-02,Syria,Asia,37153,17149
2015-11-09,United States,North America,203211,65590
2015-11-09,France,Europe,93592,24991
2015-11-09,Syria,Asia,47299,18537
2015-11-09,Israel,Asia,46294,16910
2015-11-09,United Kingdom,Europe,31675,12451
2015-11-16,United States,North America,212834,68057
2015-11-16,France,Europe,195683,58540
2015-11-16,Syria,Asia,74535,29566
2015-11-16,Israel,Asia,44367,17437
2015-11-16,Belgium,Europe,43554,13709
2015-11-23,United States,North America,250564,61853
2015-11-23,Russia,Europe,114505,46999
2015-11-23,Turkey,Asia,112536,40779
2015-11-23,Syria,Asia,80383,32382
2015-11-23,France,Europe,78046,24688
2015-11-30,United States,North America,403780,86524
2015-11-30,Syria,Asia,52025,22519
2015-11-30,France,Europe,44777,14005
2015-11-30,Russia,Europe,44659,22835
2015-11-30,Turkey,Asia,44544,21178
2015-12-07,United States,North America,318691,82701
2015-12-07,Syria,Asia,47411,20892
2015-12-07,Russia,Europe,41342,18507
2015-12-07,Australia,Oceania,35614,4832
2015-12-07,Israel,Asia,30459,13347
2015-12-14,United States,North America,268775,74556
2015-12-14,Syria,Asia,41240,17773
2015-12-14,Turkey,Asia,35987,16494
2015-12-14,Israel,Asia,34589,14288
2015-12-14,Russia,Europe,34116,16196
2015-12-21,United States,North America,213592,57235
2015-12-21,Syria,Asia,59925,21007
2015-12-21,Israel,Asia,52485,17623
2015-12-21,Afghanistan,Asia,45218,10686
2015-12-21,Russia,Europe,28899,14629
2015-12-28,United States,North America,204470,58672
2015-12-28,Saudi Arabia,Asia,57456,12930
2015-12-28,Israel,Asia,40678,15966
2015-12-28,Iraq,Asia,34912,13431
2015-12-28,Syria,Asia,33420,16181
2016-01-04,United States,North America,278437,79710
