mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2017-08-14,Israel,Asia,27365,7421
2017-08-14,United Kingdom,Europe,21731,8698
2017-08-14,France,Europe,16674,5508
2017-08-21,United States,North America,256656,70115
2017-08-21,Spain,Europe,68367,14801
2017-08-21,Afghanistan,Asia,24593,7263
2017-08-21,Israel,Asia,23687,4918
2017-08-21,United Kingdom,Europe,20486,8600
2017-08-28,United States,North America,140108,46113
2017-08-28,Russia,Europe,23738,8334
2017-08-28,United Kingdom,Europe,12739,5050
2017-08-28,Israel,Asia,11799,2846
2017-08-28,India,Asia,10784,5795
2017-09-04,United States,North America,213744,64192
2017-09-04,India,Asia,24344,12919
2017-09-04,Russia,Europe,23504,10753
2017-09-04,Israel,Asia,23210,6643
2017-09-04,Syria,Asia,20008,9315
2017-09-11,United States,North America,260716,70275
2017-09-11,United Kingdom,Europe,48193,13443
2017-09-11,Russia,Europe,24247,11227
2017-09-11,North Korea,Asia,22773,6284
2017-09-11,Israel,Asia,18668,5219
2017-09-18,United States,North America,243827,65452
2017-09-18,United Kingdom,Europe,29682,10664
2017-09-18,North Korea,Asia,22968,5972
2017-09-18,Russia,Europe,22527,11568
2017-09-18,Israel,Asia,21044,5004
2017-09-25,United States,North America,219442,62396
2017-09-25,Israel,Asia,28176,7307
2017-09-25,Iraq,Asia,22741,9857
2017-09-25,Russia,Europe,22509,11625
2017-09-25,United Kingdom,Europe,20189,8337
2017-10-02,United States,North America,338924,83089
2017-10-02,Myanmar,Asia,36078,4584
2017-10-02,Russia,Europe,25914,12102
2017-10-02,Israel,Asia,25811,4985
2017-10-02,Spain,Europe,24474,9862
2017-10-09,United States,North America,299821,74683
2017-10-09,United Kingdom,Europe,23107,8322
2017-10-09,Israel,Asia,22215,4983
2017-10-09,Syria,Asia,21517,8623
2017-10-09,Turkey,Asia,20187,9009
2017-10-16,United States,North America,314900,74928
2017-10-16,Afghanistan,Asia,37372,10830
2017-10-16,Iraq,Asia,33610,11480
2017-10-16,Israel,Asia,29612,7159
2017-10-16,Syria,Asia,27692,9421
2017-10-23,United States,North America,238515,68579
2017-10-23,Spain,Europe,25157,8123
2017-10-23,Russia,Europe,25101,11638
2017-10-23,Israel,Asia,24339,6059
2017-10-23,Syria,Asia,23403,8910
2017-10-30,United States,North America,295963,79556
2017-10-30,Russia,Europe,32246,12884
2017-10-30,Spain,Europe,29736,9337
2017-10-30,Israel,Asia,26805,7490
2017-10-30,United Kingdom,Europe,26228,9389
2017-11-06,United States,North America,422543,88415
2017-11-06,Saudi Arabia,Asia,27440,11043
2017-11-06,United Kingdom,Europe,21496,9053
2017-11-06,Russia,Europe,17799,9186
2017-11-06,Israel,Asia,17317,5138
2017-11-13,United States,North America,283521,72247
2017-11-13,Israel,Asia,27168,6760
2017-11-13,Zimbabwe,Africa,18399,5424
2017-11-13,United Kingdom,Europe,18315,7502
2017-11-13,Syria,Asia,16247,7823
2017-11-20,United States,North America,200318,54760
2017-11-20,Egypt,Africa,49448,12600
2017-11-20,Israel,Asia,24011,6019
2017-11-20,United Kingdom,Europe,22629,8197
2017-11-20,Pakistan,Asia,17887,6995
2017-11-27,United States,North America,234538,66368
2017-11-27,Israel,Asia,30216,7883
2017-11-27,United Kingdom,Europe,27441,8690
2017-11-27,Russia,Europe,25137,9940
2017-11-27,North Korea,Asia,22384,5722
2017-12-04,United States,North America,279056,74708
2017-12-04,Israel,Asia,127676,31909
2017-12-04,United Kingdom,Europe,23494,8787
2017-12-04,Yemen,Asia,21180,9114
2017-12-04,Palestine,Asia,17821,4782
2017-12-11,United States,North America,241399,67970
2017-12-11,Israel,Asia,89753,23611
2017-12-11,Russia,Europe,20629,9777
2017-12-11,United Kingdom,Europe,19003,7037
2017-12-11,India,Asia,14847,8798
2017-12-18,United States,North America,219163,60846
2017-12-18,Israel,Asia,59977,15286
2017-12-18,United Kingdom,Europe,22827,7717
2017-12-18,Russia,Europe,18798,8899
2017-12-18,India,Asia,13606,7465
2017-12-25,United States,North America,170806,46262
2017-12-25,Israel,Asia,44284,10570
2017-12-25,Egypt,Africa,30032,9045
2017-12-25,Russia,Europe,23509,10017
2017-12-25,Afghanistan,Asia,21775,4815
2018-01-01,United States,North America,203685,56855
2018-01-01,Israel,Asia,45039,10609
2018-01-01,Iran,Asia,36071,14240
2018-01-01,United Kingdom,Europe,18591,6258
2018-01-01,India,Asia,16482,9177
2018-01-08,United States,North America,208825,64311
2018-01-08,Israel,Asia,39948,11697
2018-01-08,United Kingdom,Europe,24312,9067
2018-01-08,Syria,Asia,22032,10047
2018-01-08,Russia,Europe,17676,9502
2018-01-15,United States,North America,216328,64676
2018-01-15,Israel,Asia,42062,11192
2018-01-15,Turkey,Asia,28133,11068
2018-01-15,Syria,Asia,27130,11376
2018-01-15,Serbia,Europe,25951,4860
2018-01-22,United States,North America,233065,67968
2018-01-22,Turkey,Asia,39516,15839
2018-01-22,Syria,Asia,35913,14393
2018-01-22,Israel,Asia,33154,6921
2018-01-22,Afghanistan,Asia,27388,7725
2018-01-29,United States,North America,222226,66318
2018-01-29,Israel,Asia,53290,9801
2018-01-29,Syria,Asia,36911,13652
2018-01-29,Russia,Europe,31499,13303
2018-01-29,Turkey,Asia,27842,11684
2018-02-05,United States,North America,218060,63413
2018-02-05,Israel,Asia,66353,17854
2018-02-05,Syria,Asia,61489,23727
2018-02-05,Turkey,Asia,26200,10084
2018-02-05,Russia,Europe,25615,11455
2018-02-12,United States,North America,332640,84723
2018-02-12,Israel,Asia,56259,14947
2018-02-12,Russia,Europe,32115,12703
2018-02-12,Syria,Asia,23881,11764
2018-02-12,United Kingdom,Europe,21674,7806
2018-02-19,United States,North America,374361,83906
2018-02-19,Syria,Asia,58660,20685
2018-02-19,Israel,Asia,48019,10340
2018-02-19,Russia,Europe,36514,14309
2018-02-19,United Kingdom,Europe,20653,7607
2018-02-26,United States,North America,314456,80947
2018-02-26,Syria,Asia,45587,17696
2018-02-26,Israel,Asia,36114,7413
2018-02-26,Russia,Europe,26453,12313
2018-02-26,United Kingdom,Europe,21176,7979
2018-03-05,United States,North America,268650,73677
2018-03-05,Russia,Europe,38767,14338
2018-03-05,Israel,Asia,34908,7098
2018-03-05,Syria,Asia,33422,14239
2018-03-05,United Kingdom,Europe,26611,9899
2018-03-12,United States,North America,268209,74904
2018-03-12,Russia,Europe,74798,24464
2018-03-12,Syria,Asia,45179,14715
2018-03-12,United Kingdom,Europe,43864,15930
2018-03-12,Israel,Asia,36085,8559
2018-03-19,United States,North America,301002,76631
2018-03-19,Russia,Europe,40621,15912
2018-03-19,Israel,Asia,34786,9724
2018-03-19,France,Europe,31703,10986
2018-03-19,Syria,Asia,30433,12710
2018-03-26,United States,North America,270378,73362
2018-03-26,Russia,Europe,126287,34034
2018-03-26,Israel,Asia,65997,16157
2018-03-26,United Kingdom,Europe,41600,14648
2018-03-26,Serbia,Europe,24142,4891
2018-04-02,United States,North America,269025,76743
2018-04-02,Israel,Asia,65094,17055
2018-04-02,Russia,Europe,38411,15686
2018-04-02,Syria,Asia,33726,11064
2018-04-02,United Kingdom,Europe,28850,10010
2018-04-09,United States,North America,292226,81784
2018-04-09,Syria,Asia,262666,55864
2018-04-09,Russia,Europe,98374,28861
2018-04-09,Israel,Asia,69913,15511
2018-04-09,United Kingdom,Europe,54322,15539
2018-04-16,United States,North America,300201,79331
2018-04-16,Syria,Asia,67592,21799
2018-04-16,Israel,Asia,54075,11381
2018-04-16,Russia,Europe,35375,14385
2018-04-16,United Kingdom,Europe,33092,12327
2018-04-23,United States,North America,323119,75961
2018-04-23,Israel,Asia,56708,12651
2018-04-23,United Kingdom,Europe,24618,8803
2018-04-23,Syria,Asia,21886,8759
2018-04-23,Canada,North America,20417,6094
2018-04-30,United States,North America,274790,71790
2018-04-30,Israel,Asia,38940,10185
2018-04-30,Afghanistan,Asia,37582,8002
2018-04-30,Russia,Europe,22066,8917
2018-04-30,United Kingdom,Europe,21797,8280
2018-05-07,United States,North America,281950,72192
2018-05-07,Israel,Asia,85494,21755
2018-05-07,Iran,Asia,51334,16859
2018-05-07,Syria,Asia,45862,13305
2018-05-07,Indonesia,Asia,30915,5439
2018-05-14,United States,North America,304736,77827
2018-05-14,Israel,Asia,167891,39030
2018-05-14,Indonesia,Asia,24887,7592
2018-05-14,United Kingdom,Europe,21730,7791
2018-05-14,Russia,Europe,20038,8764
2018-05-21,United States,North America,294176,73692
2018-05-21,Israel,Asia,45901,13120
2018-05-21,United Kingdom,Europe,23121,7674
2018-05-21,Russia,Europe,20924,10055
2018-05-21,Syria,Asia,18951,6958
2018-05-28,United States,North America,252135,63127
2018-05-28,Israel,Asia,71839,18558
2018-05-28,Russia,Europe,36273,14139
2018-05-28,Ukraine,Europe,27026,10847
2018-05-28,Belgium,Europe,21370,5221
2018-06-04,United States,North America,247385,68046
2018-06-04,Israel,Asia,40140,10307
2018-06-04,United Kingdom,Europe,20825,7299
2018-06-04,Russia,Europe,18539,8468
2018-06-04,India,Asia,13879,8252
2018-06-11,United States,North America,225874,63937
2018-06-11,Israel,Asia,26553,7467
2018-06-11,United Kingdom,Europe,22309,7540
2018-06-11,Afghanistan,Asia,17308,5489
2018-06-11,Yemen,Asia,15550,4417
2018-06-18,United States,North America,237121,69425
2018-06-18,Israel,Asia,39307,10345
2018-06-18,United Kingdom,Europe,19970,7071
2018-06-18,Syria,Asia,16158,8301
2018-06-18,India,Asia,14381,8944
2018-06-25,United States,North America,333618,81294
2018-06-25,Israel,Asia,25103,7321
2018-06-25,United Kingdom,Europe,18365,7313
2018-06-25,Syria,Asia,15804,7637
2018-06-25,Mexico,North America,14722,5638
2018-07-02,United States,North America,232054,62349
2018-07-02,Israel,Asia,35345,8035
2018-07-02,United Kingdom,Europe,23404,7839
2018-07-02,Australia,Oceania,16206,4734
2018-07-02,Syria,Asia,14602,7012
2018-07-09,United States,North America,254495,62964
2018-07-09,Israel,Asia,49490,12530
2018-07-09,United Kingdom,Europe,28723,8823
2018-07-09,Russia,Europe,25003,9246
2018-07-09,Pakistan,Asia,23611,8723
2018-07-16,United States,North America,259985,66558
2018-07-16,Israel,Asia,49937,12677
2018-07-16,Russia,Europe,44288,16807
2018-07-16,United Kingdom,Europe,21005,8292
2018-07-16,Syria,Asia,16724,6232
2018-07-23,United States,North America,301652,70643
2018-07-23,Israel,Asia,57368,15725
2018-07-23,Canada,North America,41298,6332
2018-07-23,Syria,Asia,26577,10628
2018-07-23,Russia,Europe,21285,10506
2018-07-30,United States,North America,277393,69793
2018-07-30,Israel,Asia,31831,9261
2018-07-30,Russia,Europe,29818,12496
2018-07-30,United Kingdom,Europe,18100,7248
2018-07-30,Australia,Oceania,17339,4445
2018-08-06,United States,North America,318142,78653
2018-08-06,Israel,Asia,62657,13915
2018-08-06,Canada,North America,31759,8842
2018-08-06,Russia,Europe,30548,12886
2018-08-06,United Kingdom,Europe,21794,7603
2018-08-13,United States,North America,249877,67022
2018-08-13,Afghanistan,Asia,37518,9888
2018-08-13,Israel,Asia,37093,8571
2018-08-13,United Kingdom,Europe,36386,9573
2018-08-13,Australia,Oceania,17916,4724
2018-08-20,United States,North America,341857,77513
2018-08-20,Russia,Europe,39517,15051
2018-08-20,Israel,Asia,21487,6026
2018-08-20,Australia,Oceania,17924,4679
2018-08-20,United Kingdom,Europe,17922,7271
2018-08-27,United States,North America,268463,69954
2018-08-27,Israel,Asia,31196,6847
2018-08-27,Russia,Europe,27094,13165
2018-08-27,United Kingdom,Europe,24501,8587
2018-08-27,Australia,Oceania,21688,4441
2018-09-03,United States,North America,259395,63059
2018-09-03,Syria,Asia,44217,15283
2018-09-03,Israel,Asia,40127,8740
2018-09-03,Russia,Europe,38655,16794
2018-09-03,United Kingdom,Europe,27245,9523
2018-09-10,United States,North America,330552,72323
2018-09-10,Israel,Asia,58919,10795
2018-09-10,Russia,Europe,33964,14375
2018-09-10,Syria,Asia,30704,11257
2018-09-10,Afghanistan,Asia,21649,6131
2018-09-17,United States,North America,346504,73517
2018-09-17,Israel,Asia,45911,13877
2018-09-17,Russia,Europe,39719,15521
2018-09-17,Syria,Asia,32635,11369
2018-09-17,Iran,Asia,27679,7925
2018-09-24,United States,North America,337274,76052
2018-09-24,Israel,Asia,33956,8545
2018-09-24,Russia,Europe,25919,11107
2018-09-24,Iran,Asia,17047,7138
2018-09-24,United Kingdom,Europe,16164,6811
2018-10-01,United States,North America,344070,75230
2018-10-01,Israel,Asia,39198,8756
2018-10-01,Russia,Europe,21525,10475
2018-10-01,United Kingdom,Europe,19592,7309
2018-10-01,Iran,Asia,15862,6129
2018-10-08,United States,North America,239331,63674
2018-10-08,Saudi Arabia,Asia,43291,11708
2018-10-08,Turkey,Asia,41253,10326
2018-10-08,Israel,Asia,40453,9516
2018-10-08,Russia,Europe,19216,9092
2018-10-15,United States,North America,250690,66543
2018-10-15,Saudi Arabia,Asia,83597,20139
2018-10-15,Israel,Asia,46701,11462
2018-10-15,Turkey,Asia,42856,12890
2018-10-15,Afghanistan,Asia,31148,7089
2018-10-22,United States,North America,275716,73078
2018-10-22,Saudi Arabia,Asia,64667,20133
2018-10-22,Israel,Asia,64465,12788
2018-10-22,Turkey,Asia,38623,12490
2018-10-22,Russia,Europe,24239,10432
2018-10-29,United States,North America,353436,83819
2018-10-29,Israel,Asia,32427,7521
2018-10-29,Pakistan,Asia,26289,8147
2018-10-29,United Kingdom,Europe,25383,7633
2018-10-29,Saudi Arabia,Asia,24142,10002
2018-11-05,United States,North America,369346,83674
2018-11-05,Israel,Asia,31948,8265
2018-11-05,Australia,Oceania,25070,5151
2018-11-05,United Kingdom,Europe,24529,8281
2018-11-05,Russia,Europe,20895,9961
2018-11-12,United States,North America,298898,71558
2018-11-12,Israel,Asia,109012,22074
2018-11-12,Saudi Arabia,Asia,38620,11523
2018-11-12,Australia,Oceania,23945,4562
2018-11-12,United Kingdom,Europe,23427,8847
2018-11-19,United States,North America,285118,61697
2018-11-19,Israel,Asia,33285,7606
2018-11-19,Saudi Arabia,Asia,32776,10646
2018-11-19,United Kingdom,Europe,25560,8998
2018-11-19,France,Europe,21360,6206
2018-11-26,United States,North America,243464,67601
2018-11-26,Russia,Europe,78231,26878
2018-11-26,Ukraine,Europe,64301,20842
2018-11-26,Israel,Asia,32304,7489
2018-11-26,Afghanistan,Asia,26879,6044
2018-12-03,United States,North America,199624,59256
2018-12-03,Russia,Europe,30354,13004
2018-12-03,Israel,Asia,30175,7461
2018-12-03,France,Europe,27276,9648
2018-12-03,Canada,North America,19717,5502
2018-12-10,United States,North America,213697,62577
2018-12-10,Israel,Asia,64695,12366
2018-12-10,France,Europe,54084,13510
2018-12-10,Russia,Europe,32592,12798
2018-12-10,China,Asia,26392,9159
2018-12-17,United States,North America,213533,63061
2018-12-17,Israel,Asia,43103,8005
2018-12-17,Syria,Asia,26489,7212
2018-12-17,United Kingdom,Europe,25456,8538
2018-12-17,Russia,Europe,21695,10775
2018-12-24,United States,North America,153957,42624
2018-12-24,Israel,Asia,30163,7136
2018-12-24,Syria,Asia,17845,6726
2018-12-24,Russia,Europe,16648,8456
2018-12-24,United Kingdom,Europe,15136,5169
2018-12-31,United States,North America,175363,49241
2018-12-31,Russia,Europe,25798,7889
2018-12-31,United Kingdom,Europe,21464,6836
2018-12-31,Israel,Asia,18020,6323
2018-12-31,Syria,Asia,13110,5183
2019-01-07,United States,North America,226265,62369
2019-01-07,Israel,Asia,38064,9030
2019-01-07,United Kingdom,Europe,15719,7060
2019-01-07,Russia,Europe,15618,7795
2019-01-07,France,Europe,15267,6084
2019-01-14,United States,North America,219197,62507
2019-01-14,Israel,Asia,30760,6970
2019-01-14,Russia,Europe,24660,10173
2019-01-14,Canada,North America,22881,7185
2019-01-14,Kenya,Africa,20797,5377
2019-01-21,United States,North America,217487,63653
2019-01-21,Israel,Asia,50405,11130
2019-01-21,Russia,Europe,25759,10235
2019-01-21,United Kingdom,Europe,22953,8391
2019-01-21,Venezuela,South America,20002,7780
2019-01-28,United States,North America,207574,64409
2019-01-28,Israel,Asia,33201,6731
2019-01-28,Russia,Europe,22644,9666
2019-01-28,Venezuela,South America,21955,8558
2019-01-28,Canada,North America,21073,5482
2019-02-04,United States,North America,244400,65887
2019-02-04,Israel,Asia,30308,6309
2019-02-04,Russia,Europe,21436,9346
2019-02-04,United Kingdom,Europe,19508,7090
2019-02-04,Canada,North America,17266,4519
2019-02-11,United States,North America,274301,72852
2019-02-11,Israel,Asia,36460,6183
2019-02-11,India,Asia,24122,12080
2019-02-11,United Kingdom,Europe,21974,7649
2019-02-11,Russia,Europe,19585,9412
2019-02-18,United States,North America,198644,63250
2019-02-18,Israel,Asia,39650,6927
2019-02-18,Venezuela,South America,25110,9445
2019-02-18,India,Asia,23306,13775
2019-02-18,United Kingdom,Europe,23066,8386
2019-02-25,United States,North America,198786,63044
2019-02-25,Pakistan,Asia,74215,25468
2019-02-25,Israel,Asia,47008,8167
2019-02-25,India,Asia,42439,19394
2019-02-25,United Kingdom,Europe,27755,8216
2019-03-04,United States,North America,216011,63158
2019-03-04,Israel,Asia,45207,9460
2019-03-04,United Kingdom,Europe,31003,9098
2019-03-04,Pakistan,Asia,22752,11546
2019-03-04,Canada,North America,21996,5054
2019-03-11,United States,North America,232199,66783
2019-03-11,New Zealand,Oceania,56701,12134
2019-03-11,Israel,Asia,56183,10851
2019-03-11,Australia,Oceania,38256,9002
2019-03-11,United Kingdom,Europe,25388,9509
2019-03-18,United States,North America,263894,67806
2019-03-18,New Zealand,Oceania,44866,12960
2019-03-18,Israel,Asia,44354,9393
2019-03-18,Australia,Oceania,25538,7974
2019-03-18,Russia,Europe,23808,8808
2019-03-25,United States,North America,265108,69533
2019-03-25,Israel,Asia,113156,23012
2019-03-25,United Kingdom,Europe,25724,8434
2019-03-25,Russia,Europe,23747,10010
2019-03-25,Palestine,Asia,16687,2213
2019-04-01,United States,North America,235888,66149
2019-04-01,Israel,Asia,35511,8007
2019-04-01,United Kingdom,Europe,28769,8772
2019-04-01,Mexico,North America,22975,5707
2019-04-01,Libya,Africa,14093,4082
2019-04-08,United States,North America,253079,67716
2019-04-08,United Kingdom,Europe,57028,15810
2019-04-08,Israel,Asia,40141,7307
2019-04-08,Libya,Africa,17783,5832
2019-04-08,Russia,Europe,17477,8096
2019-04-15,United States,North America,243019,63613
2019-04-15,France,Europe,40572,7592
2019-04-15,United Kingdom,Europe,36855,11730
2019-04-15,Israel,Asia,25668,5336
2019-04-15,Russia,Europe,22348,8534
2019-04-22,United States,North America,250208,66744
2019-04-22,Sri Lanka,Asia,77498,20616
2019-04-22,United Kingdom,Europe,30031,10247
2019-04-22,Israel,Asia,24280,4678
2019-04-22,Russia,Europe,16700,8278
2019-04-29,United States,North America,265493,71474
2019-04-29,Israel,Asia,92623,15355
2019-04-29,United Kingdom,Europe,32568,9633
2019-04-29,Venezuela,South America,23827,7959
2019-04-29,Russia,Europe,21485,7775
2019-05-06,United States,North America,270611,68718
2019-05-06,Israel,Asia,49182,11954
2019-05-06,United Kingdom,Europe,24893,7567
2019-05-06,Russia,Europe,19628,8647
2019-05-06,China,Asia,16092,5259
2019-05-13,United States,North America,287219,71010
2019-05-13,United Kingdom,Europe,24644,8939
2019-05-13,Iran,Asia,23428,8028
2019-05-13,India,Asia,15434,8908
2019-05-13,China,Asia,15159,6199
2019-05-20,United States,North America,264533,71071
2019-05-20,United Kingdom,Europe,23879,8879
2019-05-20,Israel,Asia,21137,5193
2019-05-20,China,Asia,17890,8911
2019-05-20,Iran,Asia,16571,5734
2019-05-27,United States,North America,226629,59993
2019-05-27,Israel,Asia,33745,7270
2019-05-27,United Kingdom,Europe,19493,7294
2019-05-27,Russia,Europe,18026,7633
2019-05-27,China,Asia,16793,6817
2019-06-03,United States,North America,240643,66001
2019-06-03,United Kingdom,Europe,31762,10024
2019-06-03,Israel,Asia,22182,4248
2019-06-03,Australia,Oceania,19365,4926
2019-06-03,Sudan,Africa,18575,6021
2019-06-10,United States,North America,216327,60938
2019-06-10,Israel,Asia,30172,5805
2019-06-10,United Kingdom,Europe,27007,8770
2019-06-10,Iran,Asia,23680,7267
2019-06-10,India,Asia,16506,9097
2019-06-17,United States,North America,249219,67609
2019-06-17,Iran,Asia,98121,18226
2019-06-17,Israel,Asia,21670,4327
2019-06-17,Russia,Europe,21616,10564
2019-06-17,United Kingdom,Europe,19196,7722
2019-06-24,United States,North America,274439,71072
2019-06-24,Iran,Asia,40438,11240
2019-06-24,Israel,Asia,28546,6044
2019-06-24,Russia,Europe,18420,8872
2019-06-24,United Kingdom,Europe,16822,7140
2019-07-01,United States,North America,178550,52682
2019-07-01,Israel,Asia,24872,6023
2019-07-01,United Kingdom,Europe,17937,7422
2019-07-01,Russia,Europe,16770,8031
2019-07-01,Libya,Africa,15384,4501
2019-07-08,United States,North America,212041,61640
2019-07-08,United Kingdom,Europe,33270,9504
2019-07-08,Israel,Asia,24628,4943
2019-07-08,Russia,Europe,15507,7890
2019-07-08,Iran,Asia,14786,5728
2019-07-15,United States,North America,205622,63015
2019-07-15,United Kingdom,Europe,31819,10185
2019-07-15,Iran,Asia,31387,9607
2019-07-15,Israel,Asia,28994,4636
2019-07-15,Mexico,North America,19418,5429
2019-07-22,United States,North America,197057,59240
2019-07-22,Russia,Europe,36006,12082
2019-07-22,Israel,Asia,34751,7321
2019-07-22,United Kingdom,Europe,31590,10445
2019-07-22,Iran,Asia,16568,6536
2019-07-29,United States,North America,350658,74689
2019-07-29,Russia,Europe,26164,11275
2019-07-29,Israel,Asia,25572,5308
2019-07-29,United Kingdom,Europe,20568,8442
2019-07-29,Mexico,North America,18164,4971
2019-08-05,United States,North America,394282,88860
2019-08-05,Israel,Asia,40809,7428
2019-08-05,Mexico,North America,24290,5975
2019-08-05,United Kingdom,Europe,21710,7090
2019-08-05,India,Asia,18361,10528
2019-08-12,United States,North America,248979,67442
2019-08-12,Israel,Asia,52631,10654
2019-08-12,United Kingdom,Europe,25782,8215
2019-08-12,China,Asia,19191,7260
2019-08-12,Hong Kong,Asia,18323,4432
2019-08-19,United States,North America,223772,62438
2019-08-19,Israel,Asia,33143,9156
2019-08-19,China,Asia,19217,6963
2019-08-19,United Kingdom,Europe,18525,7661
2019-08-19,Russia,Europe,17926,8182
2019-08-26,United States,North America,227242,62627
2019-08-26,Israel,Asia,45711,11441
2019-08-26,United Kingdom,Europe,23739,8667
2019-08-26,China,Asia,17810,7351
2019-08-26,Russia,Europe,14884,8070
2019-09-02,United States,North America,231274,59624
2019-09-02,United Kingdom,Europe,25972,9313
2019-09-02,Afghanistan,Asia,23045,6680
2019-09-02,Israel,Asia,19473,7499
2019-09-02,Russia,Europe,16790,8798
2019-09-09,United States,North America,222526,62656
2019-09-09,United Kingdom,Europe,24970,8893
2019-09-09,Afghanistan,Asia,19938,5859
2019-09-09,Saudi Arabia,Asia,16847,4010
2019-09-09,Iran,Asia,16712,4834
2019-09-16,United States,North America,197616,60114
2019-09-16,Iran,Asia,32300,10820
2019-09-16,Saudi Arabia,Asia,23881,8471
2019-09-16,United Kingdom,Europe,16969,7035
2019-09-16,Russia,Europe,14477,7928
2019-09-23,United States,North America,197793,59338
2019-09-23,United Kingdom,Europe,23532,7907
2019-09-23,Ukraine,Europe,20441,7161
2019-09-23,Iran,Asia,14710,5297
2019-09-23,Russia,Europe,12592,6485
2019-09-30,United States,North America,251879,60656
2019-09-30,Iraq,Asia,29183,8097
2019-09-30,China,Asia,24114,7852
2019-09-30,United Kingdom,Europe,18078,7654
2019-09-30,Hong Kong,Asia,17537,5061
2019-10-07,United States,North America,231984,64486
2019-10-07,Turkey,Asia,99190,29322
2019-10-07,Syria,Asia,76368,20178
2019-10-07,United Kingdom,Europe,29313,8713
2019-10-07,Ukraine,Europe,15520,6066
2019-10-14,United States,North America,231813,61867
2019-10-14,Turkey,Asia,75911,24917
2019-10-14,Syria,Asia,64760,19883
2019-10-14,Spain,Europe,29076,10441
2019-10-14,United Kingdom,Europe,23948,8994
2019-10-21,United States,North America,189392,58280
2019-10-21,United Kingdom,Europe,42325,11891
2019-10-21,Syria,Asia,38272,12676
2019-10-21,Turkey,Asia,31203,11307
2019-10-21,Iraq,Asia,23787,6804
2019-10-28,United States,North America,204459,61085
2019-10-28,Syria,Asia,27854,11250
2019-10-28,United Kingdom,Europe,19765,8427
2019-10-28,Iraq,Asia,18779,6290
2019-10-28,Russia,Europe,17661,8115
2019-11-04,United States,North America,189706,58146
2019-11-04,Mexico,North America,31018,8348
2019-11-04,United Kingdom,Europe,19846,7777
2019-11-04,Iraq,Asia,19281,6549
2019-11-04,Turkey,Asia,13218,5725
2019-11-11,United States,North America,212159,59350
2019-11-11,Israel,Asia,57697,17168
2019-11-11,Hong Kong,Asia,21667,5541
2019-11-11,Russia,Europe,19954,8630
2019-11-11,United Kingdom,Europe,19372,7184
2019-11-18,United States,North America,197006,59438
2019-11-18,United Kingdom,Europe,27515,8576
2019-11-18,Israel,Asia,24497,9333
2019-11-18,China,Asia,15652,5962
2019-11-18,Iraq,Asia,15021,4210
2019-11-25,United States,North America,144418,44019
2019-11-25,United Kingdom,Europe,53721,12787
2019-11-25,Iraq,Asia,25241,8947
2019-11-25,Israel,Asia,14137,7320
2019-11-25,China,Asia,13598,5009
2019-12-02,United States,North America,212923,59934
2019-12-02,United Kingdom,Europe,33889,10354
2019-12-02,India,Asia,25492,11956
2019-12-02,Russia,Europe,17855,8944
2019-12-02,Ukraine,Europe,16139,5025
2019-12-09,United States,North America,192155,60647
2019-12-09,United Kingdom,Europe,23208,7655
2019-12-09,India,Asia,20982,11307
2019-12-09,Russia,Europe,17735,8390
2019-12-09,Ukraine,Europe,16028,5927
2019-12-16,United States,North America,190090,58303
2019-12-16,India,Asia,46342,19553
2019-12-16,United Kingdom,Europe,29314,7637
2019-12-16,Russia,Europe,20601,8677
2019-12-16,Australia,Oceania,15647,5008
2019-12-23,United States,North America,136521,40977
2019-12-23,Saudi Arabia,Asia,17068,4315
2019-12-23,Russia,Europe,16703,7961
2019-12-23,Syria,Asia,16500,5972
2019-12-23,Turkey,Asia,14478,4923
2019-12-30,United States,North America,89954,24205
2019-12-30,Iraq,Asia,22514,7971
2019-12-30,Iran,Asia,17296,5099
2019-12-30,China,Asia,7116,2394
2019-12-30,United Kingdom,Europe,5699,2044
2020-01-06,Iran,Asia,234010,63732
2020-01-06,United States,North America,232935,76379
2020-01-06,Iraq,Asia,86936,29004
2020-01-06,Ukraine,Europe,29270,9796
2020-01-06,Australia,Oceania,28763,7564
2020-01-13,United States,North America,191245,61384
2020-01-13,Iran,Asia,61639,22567
2020-01-13,Ukraine,Europe,24290,8342
2020-01-13,Iraq,Asia,19543,7951
2020-01-13,United Kingdom,Europe,19176,7640
2020-01-20,United States,North America,195877,58767
2020-01-20,China,Asia,23922,8406
2020-01-20,United Kingdom,Europe,20872,6880
2020-01-20,Iraq,Asia,19676,6896
2020-01-20,Iran,Asia,17151,7352
2020-01-27,United States,North America,185997,58795
2020-01-27,China,Asia,79559,24421
2020-01-27,United Kingdom,Europe,35981,10451
2020-01-27,Israel,Asia,26559,9779
2020-01-27,India,Asia,17670,9240
2020-02-03,United States,North America,206869,61993
2020-02-03,China,Asia,47196,16561
2020-02-03,United Kingdom,Europe,33266,9946
2020-02-03,Syria,Asia,19840,8854
2020-02-03,Thailand,Asia,18562,3402
2020-02-10,United States,North America,185198,59818
2020-02-10,United Kingdom,Europe,23270,8182
2020-02-10,China,Asia,23005,10301
2020-02-10,Syria,Asia,21569,9602
2020-02-10,Russia,Europe,17733,8959
2020-02-17,United States,North America,181730,56822
2020-02-17,China,Asia,24816,10115
2020-02-17,United Kingdom,Europe,23943,7678
