mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2022-03-07,Russia,Europe,61921
2022-03-07,Ukraine,Europe,48306
2022-03-07,United States,North America,18997
2022-03-14,Russia,Europe,53356
2022-03-14,Ukraine,Europe,47993
2022-03-14,United States,North America,14186
2022-03-21,Russia,Europe,46002
2022-03-21,Ukraine,Europe,35438
2022-03-21,United States,North America,13633
2022-03-28,Russia,Europe,36097
2022-03-28,Ukraine,Europe,35573
2022-03-28,United States,North America,15383
2022-04-04,Russia,Europe,47962
2022-04-04,Ukraine,Europe,39010
2022-04-04,United States,North America,18281
2022-04-11,Ukraine,Europe,36405
2022-04-11,Russia,Europe,35341
2022-04-11,United States,North America,18238
2022-04-18,Ukraine,Europe,36990
2022-04-18,Russia,Europe,33456
2022-04-18,United States,North America,18701
2022-04-25,Ukraine,Europe,37797
2022-04-25,Russia,Europe,35554
2022-04-25,United States,North America,16792
2022-05-02,Ukraine,Europe,34937
2022-05-02,Russia,Europe,32300
