mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2018-06-18,United Kingdom,Europe,13341
2018-06-18,Australia,Oceania,12067
2018-06-25,United States,North America,40077
2018-06-25,United Kingdom,Europe,13211
2018-06-25,Australia,Oceania,12252
2018-07-02,United States,North America,26410
2018-07-02,Australia,Oceania,13754
2018-07-02,United Kingdom,Europe,11639
2018-07-09,United States,North America,25950
2018-07-09,Israel,Asia,14755
2018-07-09,United Kingdom,Europe,11530
2018-07-16,United States,North America,38986
2018-07-16,Russia,Europe,15086
2018-07-16,United Kingdom,Europe,13840
2018-07-23,United States,North America,36266
2018-07-23,Israel,Asia,13941
2018-07-23,Australia,Oceania,13558
2018-07-30,United States,North America,37503
2018-07-30,Australia,Oceania,14401
2018-07-30,Russia,Europe,13189
2018-08-06,United States,North America,41375
2018-08-06,Israel,Asia,17100
2018-08-06,United Kingdom,Europe,14370
2018-08-13,United States,North America,33710
2018-08-13,United Kingdom,Europe,20246
2018-08-13,Australia,Oceania,15737
2018-08-20,United States,North America,45673
2018-08-20,Russia,Europe,16228
2018-08-20,Australia,Oceania,14067
2018-08-27,United States,North America,34901
2018-08-27,Australia,Oceania,17285
2018-08-27,United Kingdom,Europe,16495
2018-09-03,United States,North America,32641
2018-09-03,Russia,Europe,17509
2018-09-03,United Kingdom,Europe,17188
2018-09-10,United States,North America,45452
2018-09-10,Russia,Europe,14973
2018-09-10,United Kingdom,Europe,13590
2018-09-17,United States,North America,42592
2018-09-17,Russia,Europe,16206
2018-09-17,Australia,Oceania,15125
2018-09-24,United States,North America,42815
2018-09-24,Australia,Oceania,13905
2018-09-24,United Kingdom,Europe,11400
2018-10-01,United States,North America,44785
2018-10-01,United Kingdom,Europe,13744
2018-10-01,Australia,Oceania,13267
2018-10-08,United States,North America,35715
2018-10-08,Australia,Oceania,13066
2018-10-08,Turkey,Asia,12299
2018-10-15,United States,North America,37291
2018-10-15,Saudi Arabia,Asia,26918
2018-10-15,United Kingdom,Europe,16374
2018-10-22,United States,North America,43264
2018-10-22,Saudi Arabia,Asia,22713
2018-10-22,Australia,Oceania,14948
2018-10-29,United States,North America,53979
2018-10-29,Australia,Oceania,20608
2018-10-29,United Kingdom,Europe,17644
2018-11-05,United States,North America,58921
2018-11-05,Australia,Oceania,20966
2018-11-05,United Kingdom,Europe,16418
2018-11-12,United States,North America,42763
2018-11-12,Israel,Asia,26144
2018-11-12,Australia,Oceania,21379
2018-11-19,United States,North America,42650
2018-11-19,United Kingdom,Europe,16973
2018-11-19,Australia,Oceania,11403
2018-11-26,United States,North America,35212
2018-11-26,Russia,Europe,28551
2018-11-26,Ukraine,Europe,27254
2018-12-03,United States,North America,28384
2018-12-03,United Kingdom,Europe,13896
2018-12-03,France,Europe,13188
2018-12-10,United States,North America,31417
2018-12-10,France,Europe,24954
2018-12-10,Russia,Europe,14191
2018-12-17,United States,North America,32543
2018-12-17,United Kingdom,Europe,16395
2018-12-17,Russia,Europe,9837
2018-12-24,United States,North America,26119
2018-12-24,United Kingdom,Europe,10630
2018-12-24,Russia,Europe,8650
2018-12-31,United States,North America,23571
2018-12-31,United Kingdom,Europe,14061
2018-12-31,Russia,Europe,9049
2019-01-07,United States,North America,30405
2019-01-07,United Kingdom,Europe,10621
2019-01-07,France,Europe,7887
2019-01-14,United States,North America,31470
2019-01-14,United Kingdom,Europe,11666
2019-01-14,Russia,Europe,10657
2019-01-21,United States,North America,32476
2019-01-21,United Kingdom,Europe,15294
2019-01-21,Russia,Europe,10630
2019-01-28,United States,North America,29606
2019-01-28,United Kingdom,Europe,14269
2019-01-28,Russia,Europe,8943
2019-02-04,United States,North America,31546
2019-02-04,United Kingdom,Europe,13475
2019-02-04,Russia,Europe,8999
2019-02-11,United States,North America,35223
2019-02-11,United Kingdom,Europe,16537
2019-02-11,Russia,Europe,9088
2019-02-18,United States,North America,25937
2019-02-18,United Kingdom,Europe,17103
2019-02-18,Venezuela,South America,10017
2019-02-25,United States,North America,30158
2019-02-25,Pakistan,Asia,25683
2019-02-25,United Kingdom,Europe,21373
2019-03-04,United States,North America,30435
2019-03-04,United Kingdom,Europe,23052
2019-03-04,Pakistan,Asia,8029
2019-03-11,United States,North America,31767
2019-03-11,New Zealand,Oceania,19024
2019-03-11,Australia,Oceania,18872
2019-03-18,United States,North America,27356
2019-03-18,New Zealand,Oceania,19093
2019-03-18,United Kingdom,Europe,14059
2019-03-25,United States,North America,30715
2019-03-25,Israel,Asia,26111
2019-03-25,United Kingdom,Europe,17552
2019-04-01,United States,North America,29931
2019-04-01,United Kingdom,Europe,19317
2019-04-01,Libya,Africa,7190
2019-04-08,United States,North America,34374
2019-04-08,United Kingdom,Europe,27030
2019-04-08,Australia,Oceania,10100
2019-04-15,United States,North America,34596
2019-04-15,United Kingdom,Europe,22323
2019-04-15,France,Europe,15599
2019-04-22,United States,North America,35216
2019-04-22,Sri Lanka,Asia,28602
2019-04-22,United Kingdom,Europe,21166
2019-04-29,United States,North America,31949
2019-04-29,Israel,Asia,25739
2019-04-29,United Kingdom,Europe,23149
2019-05-06,United States,North America,38738
2019-05-06,United Kingdom,Europe,17139
2019-05-06,Israel,Asia,10947
2019-05-13,United States,North America,38518
2019-05-13,United Kingdom,Europe,15697
2019-05-13,Australia,Oceania,8507
2019-05-20,United States,North America,37082
2019-05-20,United Kingdom,Europe,14843
2019-05-20,Russia,Europe,7310
2019-05-27,United States,North America,35308
2019-05-27,United Kingdom,Europe,13002
2019-05-27,France,Europe,7925
2019-06-03,United States,North America,36431
2019-06-03,United Kingdom,Europe,19571
2019-06-03,Australia,Oceania,10632
2019-06-10,United States,North America,28582
2019-06-10,United Kingdom,Europe,17929
2019-06-10,Russia,Europe,8537
2019-06-17,United States,North America,35391
2019-06-17,Iran,Asia,26905
2019-06-17,United Kingdom,Europe,13254
2019-06-24,United States,North America,41697
2019-06-24,Iran,Asia,13654
2019-06-24,United Kingdom,Europe,11762
2019-07-01,United States,North America,24389
2019-07-01,United Kingdom,Europe,11572
2019-07-01,Russia,Europe,8107
2019-07-08,United States,North America,28656
2019-07-08,United Kingdom,Europe,19814
2019-07-08,Russia,Europe,7629
2019-07-15,United States,North America,33139
2019-07-15,United Kingdom,Europe,19895
2019-07-15,Iran,Asia,11188
2019-07-22,United States,North America,34789
2019-07-22,United Kingdom,Europe,18159
2019-07-22,Russia,Europe,16651
2019-07-29,United States,North America,57325
2019-07-29,United Kingdom,Europe,13281
2019-07-29,Russia,Europe,12861
2019-08-05,United States,North America,62817
2019-08-05,United Kingdom,Europe,14588
2019-08-05,Russia,Europe,9615
2019-08-12,United States,North America,33921
2019-08-12,United Kingdom,Europe,16728
2019-08-12,Israel,Asia,9071
2019-08-19,United States,North America,34223
2019-08-19,United Kingdom,Europe,11219
2019-08-19,Russia,Europe,8693
2019-08-26,United States,North America,37850
2019-08-26,United Kingdom,Europe,16449
2019-08-26,Israel,Asia,8631
2019-09-02,United States,North America,40153
2019-09-02,United Kingdom,Europe,17214
2019-09-02,Russia,Europe,9018
2019-09-09,United States,North America,32341
2019-09-09,United Kingdom,Europe,17155
2019-09-09,Iran,Asia,7596
2019-09-16,United States,North America,29266
2019-09-16,United Kingdom,Europe,12277
2019-09-16,Iran,Asia,12057
2019-09-23,United States,North America,29645
2019-09-23,United Kingdom,Europe,15558
2019-09-23,Ukraine,Europe,7072
2019-09-30,United States,North America,32925
2019-09-30,United Kingdom,Europe,12398
2019-09-30,Iraq,Asia,11277
2019-10-07,United States,North America,36180
2019-10-07,Turkey,Asia,34988
2019-10-07,Syria,Asia,22803
2019-10-14,United States,North America,32729
2019-10-14,Turkey,Asia,26397
